PICKUP_LOCATION_ID,PICKUP_BOROUGH,PICKUP_ZONE,PICKUP_SERVICE_ZONE,TRIPS_COUNT,TOTAL_REVENUE,AVG_TOTAL_AMOUNT,AVG_FARE_AMOUNT,AVG_TIP_AMOUNT,AVG_TRIP_DISTANCE,AVG_TRIP_DURATION_MINUTES,FIRST_PICKUP_DATETIME,LAST_PICKUP_DATETIME,DEMAND_RANK,REVENUE_RANK
158,Manhattan,Meatpacking/West Village West,Yellow Zone,22788,557374.21,24.46,16.26,3.22,2.62,14.41,2024-01-01 00:03:03.000,2024-01-31 23:59:04.000,39,39
151,Manhattan,Manhattan Valley,Yellow Zone,23623,498094.41,21.09,14.53,2.67,2.34,12.18,2024-01-01 00:04:11.000,2024-01-31 23:39:11.000,38,40
13,Manhattan,Battery Park City,Yellow Zone,15292,489262.89,31.99,22.45,4.21,4.43,17.11,2024-01-01 00:14:34.000,2024-01-31 23:47:40.000,43,41
211,Manhattan,SoHo,Yellow Zone,19534,465686.68,23.84,15.92,3.03,2.49,14.33,2024-01-01 00:04:24.000,2024-01-31 23:53:16.000,40,42
261,Manhattan,World Trade Center,Yellow Zone,12372,395150.62,31.94,22.89,3.85,4.26,18.92,2024-01-01 00:04:58.000,2024-01-31 23:51:15.000,46,43
87,Manhattan,Financial District North,Yellow Zone,11551,369344.66,31.98,22.81,3.92,4.45,17.76,2024-01-01 00:06:40.000,2024-01-31 23:56:06.000,48,44
75,Manhattan,East Harlem South,Boro Zone,17319,362952.11,20.96,15.05,2.13,2.49,12.93,2024-01-01 00:03:27.000,2024-01-31 23:45:29.000,41,45
50,Manhattan,Clinton West,Yellow Zone,15446,359614.54,23.28,15.78,2.65,2.61,12.99,2024-01-01 00:00:42.000,2024-01-31 23:59:34.000,42,46
125,Manhattan,Hudson Sq,Yellow Zone,13278,318653.24,24,15.91,3.13,2.54,13.73,2024-01-01 00:00:04.000,2024-01-31 23:55:55.000,44,47
166,Manhattan,Morningside Heights,Boro Zone,13247,302204.89,22.81,16.28,2.86,2.7,13.85,2024-01-01 00:04:05.000,2024-01-31 23:57:53.000,45,48
264,Unknown,N/A,N/A,9506,256295.75,26.96,18.6,3.37,3.34,14.81,2024-01-01 00:05:17.000,2024-01-31 23:43:31.000,49,49
88,Manhattan,Financial District South,Yellow Zone,6662,219298.3,32.92,23.89,3.78,4.76,19.09,2024-01-01 00:04:20.000,2024-01-31 23:31:40.000,51,50
24,Manhattan,Bloomingdale,Yellow Zone,7614,166135.84,21.82,15.31,2.73,2.48,12.90,2024-01-01 00:08:06.000,2024-01-31 23:52:40.000,50,51
41,Manhattan,Central Harlem,Boro Zone,6319,132784.36,21.01,15.98,1.86,2.71,14.04,2024-01-01 00:04:22.000,2024-01-31 23:53:06.000,52,52
209,Manhattan,Seaport,Yellow Zone,4229,128452.98,30.37,21.61,3.68,4.15,17.14,2024-01-01 00:05:48.000,2024-01-31 23:56:08.000,54,53
74,Manhattan,East Harlem North,Boro Zone,5505,116209.42,21.11,16.23,1.58,2.83,13.81,2024-01-01 00:00:58.000,2024-01-31 23:47:56.000,53,54
45,Manhattan,Chinatown,Yellow Zone,3618,101413.85,28.03,20.19,3.01,3.51,17.99,2024-01-01 00:19:58.000,2024-01-31 23:56:17.000,55,55
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,3399,93979.32,27.65,20.23,2.78,3.55,17.22,2024-01-01 00:05:54.000,2024-01-31 23:24:55.000,56,56
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,3396,78125.91,23.01,15.75,2.58,2.54,13.21,2024-01-01 00:10:04.000,2024-01-31 22:57:54.000,57,57
4,Manhattan,Alphabet City,Yellow Zone,3239,76920.76,23.75,16.58,2.54,2.76,13.97,2024-01-01 00:06:33.000,2024-01-31 22:42:31.000,58,58
226,Queens,Sunnyside,Boro Zone,2208,76787.74,34.78,28.24,3.01,4.68,19.77,2024-01-01 00:24:49.000,2024-01-31 22:23:10.000,60,59
42,Manhattan,Central Harlem North,Boro Zone,2683,66072.1,24.63,20.83,1.05,3.91,20.17,2024-01-01 00:35:51.000,2024-01-31 23:15:46.000,59,60
10,Queens,Baisley Park,Boro Zone,846,62925.64,74.38,59.93,7.57,12.71,36.90,2024-01-01 00:30:39.000,2024-01-31 23:08:11.000,74,61
145,Queens,Long Island City/Hunters Point,Boro Zone,1422,62402.18,43.88,34.58,4.3,5.15,19.25,2024-01-01 00:26:56.000,2024-01-31 22:03:59.000,65,62
116,Manhattan,Hamilton Heights,Boro Zone,1982,52872.58,26.68,21.44,2.1,4.14,17.90,2024-01-01 00:16:05.000,2024-01-31 21:05:40.000,61,63
244,Manhattan,Washington Heights South,Boro Zone,1684,50493.24,29.98,24.44,2.33,4.96,20.60,2024-01-01 00:20:46.000,2024-01-31 22:26:41.000,63,64
265,N/A,Outside of NYC,N/A,559,45415.88,81.24,70.13,6.07,10.79,31.84,2024-01-01 00:03:55.000,2024-01-31 20:05:57.000,84,65
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,1282,42240.43,32.95,26.44,2.99,5.29,22.44,2024-01-01 00:33:15.000,2024-01-31 22:45:38.000,67,66
152,Manhattan,Manhattanville,Boro Zone,1772,41403.04,23.37,18.23,1.9,3.38,15.08,2024-01-01 00:32:01.000,2024-01-31 20:01:56.000,62,67
7,Queens,Astoria,Boro Zone,1485,38414.82,25.87,21.38,1.51,4.01,18.58,2024-01-01 00:12:39.000,2024-01-31 23:31:16.000,64,68
33,Brooklyn,Brooklyn Heights,Boro Zone,1162,38361.85,33.01,26.25,3.49,5.31,23.21,2024-01-01 00:17:08.000,2024-01-31 23:37:12.000,68,69
93,Queens,Flushing Meadows-Corona Park,Boro Zone,442,34443.98,77.93,61.35,8.91,9.44,20.68,2024-01-01 00:28:13.000,2024-01-31 22:59:53.000,101,70
215,Queens,South Jamaica,Boro Zone,519,33111.33,63.8,52.42,5.44,11.41,37.88,2024-01-01 00:43:55.000,2024-01-31 22:54:42.000,91,71
130,Queens,Jamaica,Boro Zone,613,32537.77,53.08,44.99,3.61,9.41,30.73,2024-01-01 00:22:57.000,2024-01-31 22:06:52.000,81,72
146,Queens,Long Island City/Queens Plaza,Boro Zone,1318,31716.67,24.06,18.63,1.96,3.21,15.42,2024-01-01 01:18:02.000,2024-01-31 23:26:57.000,66,73
216,Queens,South Ozone Park,Boro Zone,532,31408.59,59.04,49.61,5.17,7.49,25.00,2024-01-01 00:07:49.000,2024-01-31 18:16:38.000,88,74
76,Brooklyn,East New York,Boro Zone,839,29148.29,34.74,32.42,0.15,7.63,42.28,2024-01-01 04:42:48.000,2024-01-31 19:11:08.000,76,75
97,Brooklyn,Fort Greene,Boro Zone,1047,29139.83,27.83,23.03,2.02,4.42,22.90,2024-01-01 00:20:10.000,2024-01-31 23:54:37.000,69,76
61,Brooklyn,Crown Heights North,Boro Zone,917,28803.09,31.41,28.64,0.74,6.16,37.90,2024-01-01 00:21:35.000,2024-01-31 22:05:22.000,72,77
219,Queens,Springfield Gardens South,Boro Zone,386,28627.5,74.16,61.59,6.62,13.41,38.29,2024-01-01 00:39:36.000,2024-01-31 23:59:42.000,104,78
25,Brooklyn,Boerum Hill,Boro Zone,922,27741.08,30.09,24.95,2.32,5,24.11,2024-01-01 00:28:46.000,2024-01-31 23:40:54.000,71,79
12,Manhattan,Battery Park,Yellow Zone,845,27331.13,32.34,24.13,3.46,4.52,19.88,2024-01-01 00:13:34.000,2024-01-31 22:44:13.000,75,80
181,Brooklyn,Park Slope,Boro Zone,886,27133.56,30.62,25.31,2.51,5.21,24.99,2024-01-01 00:08:50.000,2024-01-31 23:41:37.000,73,81
255,Brooklyn,Williamsburg (North Side),Boro Zone,949,27011.71,28.46,22.6,2.41,4.37,18.55,2024-01-01 00:13:42.000,2024-01-31 23:33:33.000,70,82
223,Queens,Steinway,Boro Zone,549,25488.92,46.43,35.87,4.72,6.19,21.34,2024-01-01 00:34:41.000,2024-01-31 23:23:01.000,85,83
256,Brooklyn,Williamsburg (South Side),Boro Zone,780,23363.65,29.95,24.27,2.46,4.49,19.96,2024-01-01 00:12:58.000,2024-01-31 23:46:37.000,77,84
39,Brooklyn,Canarsie,Boro Zone,597,22794.42,38.18,35.62,0.24,8.63,47.10,2024-01-01 01:14:48.000,2024-01-31 13:31:07.000,83,85
129,Queens,Jackson Heights,Boro Zone,676,22622.3,33.46,27.13,2.09,5.2,21.83,2024-01-01 00:17:22.000,2024-01-31 21:41:13.000,78,86
260,Queens,Woodside,Boro Zone,646,22572.8,34.94,28.33,2.82,4.19,18.38,2024-01-01 00:52:07.000,2024-01-31 23:12:01.000,79,87
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,606,20050.64,33.09,26.34,3.13,5.18,20.80,2024-01-01 00:14:25.000,2024-01-31 22:18:29.000,82,88
28,Queens,Briarwood/Jamaica Hills,Boro Zone,365,19601.24,53.7,44.81,3.96,9.09,29.48,2024-01-01 00:36:22.000,2024-01-31 17:06:09.000,108,89
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,629,19390.69,30.83,28.3,0.43,6.25,39.47,2024-01-01 00:02:48.000,2024-01-31 19:22:11.000,80,90
80,Brooklyn,East Williamsburg,Boro Zone,542,18902.1,34.87,28.6,2.79,5.41,22.02,2024-01-01 00:19:52.000,2024-01-31 23:36:36.000,86,91
82,Queens,Elmhurst,Boro Zone,453,17942.57,39.61,32.57,2.83,5.11,22.55,2024-01-01 00:41:45.000,2024-01-31 22:26:50.000,98,92
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,501,17089.3,34.11,31.06,0.68,6.9,41.49,2024-01-01 01:40:30.000,2024-01-31 19:00:04.000,92,93
197,Queens,Richmond Hill,Boro Zone,380,16072.93,42.3,36.99,2.37,7.02,31.01,2024-01-01 00:29:12.000,2024-01-31 23:26:47.000,107,94
51,Bronx,Co-Op City,Boro Zone,362,15943.14,44.04,40.3,0.15,10.49,46.60,2024-01-01 16:45:31.000,2024-01-31 13:34:01.000,109,95
35,Brooklyn,Brownsville,Boro Zone,488,15688.85,32.15,30.13,0.07,6.72,44.75,2024-01-01 00:38:14.000,2024-01-31 18:57:45.000,95,96
112,Brooklyn,Greenpoint,Boro Zone,527,15473.48,29.36,22.99,2.52,4.46,19.29,2024-01-01 00:22:42.000,2024-01-31 23:10:47.000,89,97
195,Brooklyn,Red Hook,Boro Zone,278,15455.65,55.6,46.52,3.99,9.87,32.66,2024-01-01 02:22:11.000,2024-01-31 19:41:48.000,118,98
225,Brooklyn,Stuyvesant Heights,Boro Zone,494,15374.79,31.12,28.25,0.73,5.99,37.06,2024-01-01 00:35:27.000,2024-01-31 16:36:23.000,93,99
95,Queens,Forest Hills,Boro Zone,472,15248.79,32.31,27.99,1.21,5.88,27.06,2024-01-01 00:46:08.000,2024-01-31 21:21:25.000,96,100
37,Brooklyn,Bushwick South,Boro Zone,466,15176.57,32.57,28.62,1.19,5.77,30.24,2024-01-01 00:02:24.000,2024-01-31 22:22:29.000,97,101
193,Queens,Queensbridge/Ravenswood,Boro Zone,523,15085.1,28.84,24.23,1.6,4.71,22.29,2024-01-01 03:44:22.000,2024-01-31 22:35:47.000,90,102
52,Brooklyn,Cobble Hill,Boro Zone,493,14307.16,29.02,22.54,3.38,4.24,20.67,2024-01-01 00:29:00.000,2024-01-31 22:15:56.000,94,103
49,Brooklyn,Clinton Hill,Boro Zone,446,14081.7,31.57,27.43,1.58,5.83,31.69,2024-01-01 00:16:08.000,2024-01-31 23:46:51.000,99,104
179,Queens,Old Astoria,Boro Zone,535,13857.87,25.9,21.33,1.49,4.15,18.83,2024-01-01 00:48:55.000,2024-01-31 19:51:34.000,87,105
14,Brooklyn,Bay Ridge,Boro Zone,313,13573.57,43.37,38.26,1.26,9.97,40.02,2024-01-01 00:37:33.000,2024-01-31 12:49:38.000,114,106
17,Brooklyn,Bedford,Boro Zone,445,13276.48,29.83,26.72,0.91,5.19,31.58,2024-01-01 00:39:24.000,2024-01-31 18:23:57.000,100,107
134,Queens,Kew Gardens,Boro Zone,247,13182.23,53.37,44.9,4.6,6.92,24.71,2024-01-01 00:15:48.000,2024-01-31 18:44:03.000,123,108
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,395,12993.77,32.9,30.91,0.04,6.9,42.18,2024-01-01 04:00:30.000,2024-01-31 15:15:26.000,103,109
86,Queens,Far Rockaway,Boro Zone,242,12936.36,53.46,50.62,0,14.47,64.35,2024-01-01 01:31:08.000,2024-01-31 16:07:07.000,126,110
168,Bronx,Mott Haven/Port Morris,Boro Zone,430,12698.65,29.53,26.3,0.56,5.51,26.99,2024-01-01 00:27:47.000,2024-01-31 19:33:08.000,102,111
205,Queens,Saint Albans,Boro Zone,295,12646.71,42.87,39.99,0.14,10.61,49.61,2024-01-01 01:42:45.000,2024-01-31 17:55:16.000,117,112
55,Brooklyn,Coney Island,Boro Zone,275,12598.65,45.81,43.31,0.15,11.99,57.21,2024-01-01 01:02:53.000,2024-01-31 11:27:56.000,119,113
243,Manhattan,Washington Heights North,Boro Zone,383,12416.54,32.42,27.39,1.98,5.98,22.77,2024-01-01 00:57:21.000,2024-01-31 14:50:47.000,105,114
157,Queens,Maspeth,Boro Zone,244,12281.12,50.33,39.85,5.4,5.7,20.41,2024-01-01 01:02:39.000,2024-01-31 23:28:09.000,125,115
91,Brooklyn,Flatlands,Boro Zone,381,12271.92,32.21,30.19,0.14,7.06,43.77,2024-01-01 01:15:28.000,2024-01-31 15:10:28.000,106,116
218,Queens,Springfield Gardens North,Boro Zone,273,11120.57,40.73,37.49,0.61,9.24,41.19,2024-01-01 00:23:38.000,2024-01-31 19:02:31.000,121,117
56,Queens,Corona,Boro Zone,228,10920.72,47.9,39.52,3.83,7.03,30.57,2024-01-01 01:29:07.000,2024-01-31 21:08:36.000,131,118
117,Queens,Hammels/Arverne,Boro Zone,216,10874.85,50.35,47.11,0.23,13.49,60.79,2024-01-01 03:32:55.000,2024-01-31 17:42:27.000,135,119
177,Brooklyn,Ocean Hill,Boro Zone,323,10558.99,32.69,30.23,0.27,6.83,37.22,2024-01-01 01:09:30.000,2024-01-31 19:52:02.000,113,120
62,Brooklyn,Crown Heights South,Boro Zone,344,10530.11,30.61,28.1,0.57,5.71,36.33,2024-01-01 01:23:56.000,2024-01-31 21:02:49.000,111,121
71,Brooklyn,East Flatbush/Farragut,Boro Zone,357,10353.11,29,27.16,0.06,5.72,39.03,2024-01-01 04:36:06.000,2024-01-31 16:07:45.000,110,122
40,Brooklyn,Carroll Gardens,Boro Zone,325,9992.02,30.74,23.47,3,4.63,19.25,2024-01-01 00:52:13.000,2024-01-31 20:58:21.000,112,123
191,Queens,Queens Village,Boro Zone,219,9546.18,43.59,40.25,0.48,11.11,43.73,2024-01-01 04:01:32.000,2024-01-31 14:18:32.000,134,124
69,Bronx,East Concourse/Concourse Village,Boro Zone,299,9513.89,31.82,29.1,0.14,6.55,38.98,2024-01-01 02:34:00.000,2024-01-31 13:18:15.000,115,125
222,Brooklyn,Starrett City,Boro Zone,237,9505.52,40.11,37.62,0.11,8.77,44.50,2024-01-01 00:23:53.000,2024-01-31 13:13:46.000,129,126
189,Brooklyn,Prospect Heights,Boro Zone,298,9192.29,30.85,25.47,2.8,4.97,25.32,2024-01-01 00:27:29.000,2024-01-31 23:06:13.000,116,127
213,Bronx,Soundview/Castle Hill,Boro Zone,247,8690.43,35.18,32.09,0.12,8.13,39.04,2024-01-01 01:00:27.000,2024-01-31 09:26:19.000,123,128
196,Queens,Rego Park,Boro Zone,200,8479.64,42.4,35.3,3,6.49,27.76,2024-01-01 04:29:12.000,2024-01-31 16:04:25.000,140,129
210,Brooklyn,Sheepshead Bay,Boro Zone,194,8313.62,42.85,40.09,0.09,10.19,53.20,2024-01-01 00:44:09.000,2024-01-31 13:13:07.000,141,130
36,Brooklyn,Bushwick North,Boro Zone,260,8205.3,31.56,27.36,1.3,5.42,25.39,2024-01-01 00:58:36.000,2024-01-31 08:49:21.000,122,131
92,Queens,Flushing,Boro Zone,210,8163.94,38.88,34.21,1.18,8.09,34.91,2024-01-01 01:01:35.000,2024-01-31 14:53:48.000,137,132
247,Bronx,West Concourse,Boro Zone,275,8155.31,29.66,26.47,0.46,5.58,29.86,2024-01-01 00:33:54.000,2024-01-31 16:29:41.000,119,133
235,Bronx,University Heights/Morris Heights,Boro Zone,232,8076.14,34.81,32.22,0.13,7.82,37.35,2024-01-01 03:52:09.000,2024-01-31 17:20:28.000,130,134
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,221,7938.78,35.92,33.81,0.03,8.28,46.81,2024-01-01 00:54:58.000,2024-01-31 16:33:47.000,133,135
254,Bronx,Williamsbridge/Olinville,Boro Zone,190,7933.77,41.76,38.41,0.07,9.92,44.35,2024-01-01 03:51:44.000,2024-01-31 16:17:36.000,142,136
203,Queens,Rosedale,Boro Zone,168,7931.06,47.21,43.44,1.17,10.24,39.11,2024-01-01 00:26:51.000,2024-01-31 14:04:26.000,151,137
167,Bronx,Morrisania/Melrose,Boro Zone,239,7884.32,32.99,30.58,0.04,6.5,38.03,2024-01-01 00:21:47.000,2024-01-31 22:00:29.000,128,138
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,185,7696.56,41.6,37.82,1.27,9.08,44.75,2024-01-01 11:09:30.000,2024-01-31 17:53:22.000,143,139
127,Manhattan,Inwood,Boro Zone,213,7557.23,35.48,31.58,0.98,7.3,33.33,2024-01-01 00:12:36.000,2024-01-31 20:52:48.000,136,140
228,Brooklyn,Sunset Park West,Boro Zone,181,7403.77,40.9,35.75,1.94,8.62,35.66,2024-01-01 00:43:38.000,2024-01-31 16:12:37.000,145,141
182,Bronx,Parkchester,Boro Zone,201,7242.21,36.03,33.15,0.08,8.09,40.59,2024-01-01 15:08:05.000,2024-01-31 13:11:20.000,138,142
159,Bronx,Melrose South,Boro Zone,240,7167.77,29.87,27.18,0.16,5.77,34.52,2024-01-01 01:01:58.000,2024-01-31 17:41:35.000,127,143
165,Brooklyn,Midwood,Boro Zone,222,7038.16,31.7,29.4,0.19,6.67,44.82,2024-01-01 08:38:25.000,2024-01-31 13:35:07.000,132,144
26,Brooklyn,Borough Park,Boro Zone,201,6686.39,33.27,30.15,0.36,6.88,44.22,2024-01-01 06:43:16.000,2024-01-31 22:50:04.000,138,145
18,Bronx,Bedford Park,Boro Zone,162,6566.17,40.53,37.12,0.23,9.5,41.90,2024-01-01 00:08:27.000,2024-01-31 12:06:49.000,152,146
29,Brooklyn,Brighton Beach,Boro Zone,140,6298.94,44.99,42.36,0.13,10.75,53.71,2024-01-01 00:50:20.000,2024-01-31 15:32:41.000,158,147
78,Bronx,East Tremont,Boro Zone,175,6039.3,34.51,31.54,0.05,7.64,39.98,2024-01-01 00:25:16.000,2024-01-31 18:28:35.000,147,148
139,Queens,Laurelton,Boro Zone,136,6034.3,44.37,41.28,0.3,11.44,52.31,2024-01-01 00:46:21.000,2024-01-31 13:26:45.000,164,149
194,Manhattan,Randalls Island,Yellow Zone,86,5976.74,69.5,52.49,7.52,5.93,17.37,2024-01-01 00:33:24.000,2024-01-31 23:10:52.000,191,150
63,Brooklyn,Cypress Hills,Boro Zone,171,5969.82,34.91,31.79,0.79,7.46,39.12,2024-01-01 00:42:03.000,2024-01-31 17:42:40.000,149,151
198,Queens,Ridgewood,Boro Zone,182,5869.37,32.25,28,1.54,5.55,27.32,2024-01-01 00:40:30.000,2024-01-31 17:50:50.000,144,152
242,Bronx,Van Nest/Morris Park,Boro Zone,169,5867.76,34.72,31.26,0.35,7.53,37.57,2024-01-01 00:19:34.000,2024-01-31 18:24:34.000,150,153
169,Bronx,Mount Hope,Boro Zone,177,5508.38,31.12,28.7,0.07,6.46,34.53,2024-01-01 00:51:30.000,2024-01-31 20:33:17.000,146,154
85,Brooklyn,Erasmus,Boro Zone,172,5496.33,31.96,29.34,0.26,6.16,39.44,2024-01-01 01:32:04.000,2024-01-31 15:14:10.000,148,155
258,Queens,Woodhaven,Boro Zone,148,5473.81,36.99,33.97,0.28,7.77,41.18,2024-01-01 04:14:38.000,2024-01-31 13:16:24.000,155,156
38,Queens,Cambria Heights,Boro Zone,116,5446.11,46.95,43.5,0.29,11.02,45.84,2024-01-01 07:29:59.000,2024-01-31 12:39:35.000,172,157
124,Queens,Howard Beach,Boro Zone,108,5360.24,49.63,44.73,1.98,9.97,34.64,2024-01-01 04:37:54.000,2024-01-31 12:17:08.000,177,158
131,Queens,Jamaica Estates,Boro Zone,145,5352.82,36.92,33.86,0.21,8.9,41.64,2024-01-01 00:35:00.000,2024-01-31 13:26:03.000,157,159
241,Bronx,Van Cortlandt Village,Boro Zone,139,5342.94,38.44,35.15,0.05,8.85,40.86,2024-01-01 00:56:55.000,2024-01-31 16:19:15.000,161,160
