PICKUP_LOCATION_ID,PICKUP_BOROUGH,PICKUP_ZONE,DROPOFF_LOCATION_ID,DROPOFF_BOROUGH,DROPOFF_ZONE,TRIPS_COUNT,TOTAL_REVENUE,AVG_TOTAL_AMOUNT,AVG_TRIP_DISTANCE,AVG_TRIP_DURATION_MINUTES,REVENUE_RANK,DEMAND_RANK
132,Queens,JFK Airport,231,Manhattan,TriBeCa/Civic Center,1389,127815.41,92.02,20.69,49.10,49,584
138,Queens,LaGuardia Airport,239,Manhattan,Upper West Side South,1753,126962.82,72.43,10.1,29.49,50,411
132,Queens,JFK Airport,237,Manhattan,Upper East Side South,1345,126824.02,94.29,18.77,45.04,51,606
239,Manhattan,Upper West Side South,142,Manhattan,Lincoln Square East,8534,124149.59,14.55,0.89,6.11,52,9
142,Manhattan,Lincoln Square East,236,Manhattan,Upper East Side North,5872,123875.83,21.1,2.1,11.70,53,31
141,Manhattan,Lenox Hill West,236,Manhattan,Upper East Side North,7688,122475.2,15.93,1.09,8.07,54,11
142,Manhattan,Lincoln Square East,238,Manhattan,Upper West Side North,6988,121769.22,17.43,1.51,8.15,55,14
132,Queens,JFK Airport,234,Manhattan,Union Sq,1261,121549.95,96.39,17.84,42.05,56,638
138,Queens,LaGuardia Airport,68,Manhattan,East Chelsea,1634,120986.46,74.04,10.17,31.91,57,456
237,Manhattan,Upper East Side South,162,Manhattan,Midtown East,7504,120763.74,16.09,0.98,8.33,58,12
236,Manhattan,Upper East Side North,239,Manhattan,Upper West Side South,6724,116341.57,17.3,1.44,8.45,59,18
132,Queens,JFK Airport,262,Manhattan,Yorkville East,1205,116216.84,96.45,19.04,38.01,60,671
162,Manhattan,Midtown East,236,Manhattan,Upper East Side North,5408,115763.18,21.41,1.82,12.77,61,43
186,Manhattan,Penn Station/Madison Sq West,161,Manhattan,Midtown Center,5961,115740.09,19.42,1.26,12.81,62,28
239,Manhattan,Upper West Side South,238,Manhattan,Upper West Side North,8296,114673.58,13.82,0.84,5.11,63,10
236,Manhattan,Upper East Side North,162,Manhattan,Midtown East,5418,113202.28,20.89,1.79,13.14,64,42
236,Manhattan,Upper East Side North,141,Manhattan,Lenox Hill West,6831,113161.58,16.57,1.12,8.64,65,17
138,Queens,LaGuardia Airport,141,Manhattan,Lenox Hill West,1743,112721.41,64.67,9.07,23.02,66,417
132,Queens,JFK Airport,87,Manhattan,Financial District North,1209,112623.85,93.15,21.4,47.95,67,668
236,Manhattan,Upper East Side North,142,Manhattan,Lincoln Square East,5490,112277.58,20.45,1.94,11.55,68,39
230,Manhattan,Times Sq/Theatre District,1,EWR,Newark Airport,891,111854.65,125.54,18.07,34.40,69,869
162,Manhattan,Midtown East,138,Queens,LaGuardia Airport,1646,111494.16,67.74,10.14,26.46,70,450
163,Manhattan,Midtown North,138,Queens,LaGuardia Airport,1521,108875.3,71.58,10.68,31.16,71,514
236,Manhattan,Upper East Side North,238,Manhattan,Upper West Side North,6300,108485.96,17.22,1.41,8.37,72,22
162,Manhattan,Midtown East,132,Queens,JFK Airport,1169,108272.23,92.62,16.67,46.13,73,688
163,Manhattan,Midtown North,132,Queens,JFK Airport,1194,108269.45,90.68,17.41,52.64,74,675
138,Queens,LaGuardia Airport,237,Manhattan,Upper East Side South,1578,108074.13,68.49,9.45,27.54,75,488
138,Queens,LaGuardia Airport,142,Manhattan,Lincoln Square East,1452,107479.42,74.02,10.49,32.08,76,551
163,Manhattan,Midtown North,236,Manhattan,Upper East Side North,5331,107132.31,20.1,1.74,11.35,77,45
239,Manhattan,Upper West Side South,236,Manhattan,Upper East Side North,6041,107117.22,17.73,1.48,8.95,78,25
140,Manhattan,Lenox Hill East,236,Manhattan,Upper East Side North,6021,106784.47,17.74,1.32,9.99,79,26
237,Manhattan,Upper East Side South,142,Manhattan,Lincoln Square East,5942,105545.74,17.76,1.29,9.39,80,29
142,Manhattan,Lincoln Square East,237,Manhattan,Upper East Side South,5967,103930.92,17.42,1.34,9.03,81,27
138,Queens,LaGuardia Airport,100,Manhattan,Garment District,1418,102945.6,72.6,9.82,31.99,82,567
162,Manhattan,Midtown East,237,Manhattan,Upper East Side South,6195,102823.24,16.6,1.01,8.63,83,24
132,Queens,JFK Airport,255,Brooklyn,Williamsburg (North Side),1270,102638.7,80.82,16.48,38.40,84,633
132,Queens,JFK Airport,148,Manhattan,Lower East Side,1117,100926.01,90.35,18.21,43.48,85,716
132,Queens,JFK Airport,113,Manhattan,Greenwich Village North,1034,98990.22,95.74,18.45,43.86,86,763
138,Queens,LaGuardia Airport,229,Manhattan,Sutton Place/Turtle Bay North,1497,98353.27,65.7,9.41,24.03,87,526
161,Manhattan,Midtown Center,234,Manhattan,Union Sq,5214,98211.27,18.84,1.46,10.71,88,47
138,Queens,LaGuardia Airport,263,Manhattan,Yorkville West,1599,96382.51,60.28,8.18,19.17,89,477
230,Manhattan,Times Sq/Theatre District,186,Manhattan,Penn Station/Madison Sq West,5797,95798.69,16.53,1,9.14,90,33
237,Manhattan,Upper East Side South,141,Manhattan,Lenox Hill West,6527,94922.54,14.54,0.77,6.65,91,20
161,Manhattan,Midtown Center,141,Manhattan,Lenox Hill West,4821,94268.88,19.55,1.47,11.41,92,60
138,Queens,LaGuardia Airport,238,Manhattan,Upper West Side North,1377,94150.72,68.37,9.41,26.60,93,593
132,Queens,JFK Airport,132,Queens,JFK Airport,2913,93850.74,32.22,3.32,9.77,94,192
138,Queens,LaGuardia Airport,233,Manhattan,UN/Turtle Bay South,1437,93755.85,65.24,9.13,21.79,95,558
238,Manhattan,Upper West Side North,239,Manhattan,Upper West Side South,6872,93596.23,13.62,0.79,5.11,96,16
132,Queens,JFK Airport,166,Manhattan,Morningside Heights,1004,93271.76,92.9,19.17,44.35,97,781
237,Manhattan,Upper East Side South,239,Manhattan,Upper West Side South,4623,93081.71,20.13,1.79,11.23,98,65
132,Queens,JFK Airport,143,Manhattan,Lincoln Square West,989,92905.7,93.94,20.39,50.60,99,790
238,Manhattan,Upper West Side North,142,Manhattan,Lincoln Square East,5434,92851.27,17.09,1.36,8.41,100,41
